# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_lentillifera_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_lentillifera_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_lentillifera_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam
CLENT_000001-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	3711;4185;4268;4560;5154;5468	4133;4240;4499;5106;5411;5484	-;-;-;-;-;-	1533	1247
CLENT_000002-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	5633;5776;6044;6304;6435;6961	5729;5993;6259;6388;6913;8670	+;+;+;+;+;+	2805	20568
CLENT_000003-T1	scaffold_1;scaffold_1	9221;10926	10857;13158	+;+	3870	9668
CLENT_000004-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13846;14124;14310;14530;14694;14856;15301;15585;15713;15898;16075	14075;14259;14472;14637;14806;15247;15538;15659;15856;16024;16472	+;+;+;+;+;+;+;+;+;+;+	2124	251
CLENT_000005-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	16978;17223;17558;17694;17828;18052;18212;18353	17166;17508;17631;17770;17995;18151;18309;18630	-;-;-;-;-;-;-;-	1270	188350
CLENT_000006-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	18713;21011;21230;21379;21554;21725;22102;22282;22596;22893;23100	20480;21177;21331;21498;21673;22051;22233;22542;22839;23037;23376	+;+;+;+;+;+;+;+;+;+;+	3663	771
CLENT_000007-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	23458;23680;23872;24102	23635;23810;24056;24162	-;-;-;-	555	1368
CLENT_000008-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	24328;24512;24636;24752;25018;25153;25356;25505;25709;25865;26115;26249;26541;26714;26863;27129;27303;27588;28406	24457;24584;24696;24967;25091;25299;25460;25650;25820;26062;26193;26489;26657;26818;27079;27256;27531;28352;29498	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4236	0
CLENT_000008-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	24328;24512;24636;24752;25018;25153;25356;25505;25709;25865;26115;26249;26541;26714;26863;27129;27303;27588;28013;28131;28250;28406	24457;24584;24696;24967;25091;25299;25460;25650;25820;26062;26193;26489;26657;26818;27079;27256;27531;27959;28089;28205;28352;29498	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4098	0
CLENT_000009-T1	scaffold_1	28664	29464	-	801	0
CLENT_000010-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	29545;29929;30113;30371	29871;30066;30314;30652	-;-;-;-	949	77
CLENT_000011-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	30639;31148;31370;31620	31101;31318;31566;32117	+;+;+;+	1329	839
CLENT_000012-T1	scaffold_1;scaffold_1	31766;31904	31852;32140	-;-	324	1
CLENT_000013-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	32710;32970;33214;33461;33608;33851;34159;34305;34571	32918;33172;33414;33560;33800;34113;34254;34512;34747	-;-;-;-;-;-;-;-;-	1650	861
CLENT_000014-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	34968;35242;35351;35605;35804;35954;36316;36492;36704;36930;37031;37159	35052;35298;35549;35755;35899;36086;36442;36654;36883;36983;37111;37218	+;+;+;+;+;+;+;+;+;+;+;+	1386	28563
CLENT_000015-T1	scaffold_1;scaffold_1;scaffold_1	37509;37714;37891	37656;37842;38126	+;+;+	513	3395
CLENT_000016-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	38353;38653;38920;39027;39166;39290;39525;39727;39977;40125;40364;40535	38607;38862;38979;39121;39246;39479;39680;39927;40078;40316;40483;40717	+;+;+;+;+;+;+;+;+;+;+;+	1845	2385
CLENT_000017-T1	scaffold_1;scaffold_1;scaffold_1	40963;41187;41383	41136;41340;44169	+;+;+	3115	4092
CLENT_000018-T1	scaffold_1;scaffold_1;scaffold_1	44473;44577;44716	44533;44665;45474	+;+;+	909	1851
CLENT_000019-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	46008;46238;46501;47114	46171;46436;47067;47197	-;-;-;-	1014	7746
CLENT_000020-T1	scaffold_1;scaffold_1;scaffold_1	47366;47498;47634	47453;47590;48174	+;+;+	722	807
CLENT_000021-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	48324;48592;49142;49287;49434	48543;49100;49243;49387;49879	+;+;+;+;+	1378	2102
CLENT_000022-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	49903;50002;50132;50455;50567;50713;50986;51106	49959;50087;50402;50520;50663;50945;51062;51271	+;+;+;+;+;+;+;+	1053	329
CLENT_000023-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	51802;53102;53223;53486;54025	53054;53170;53427;53977;54441	-;-;-;-;-	2436	9832
CLENT_000024-T1	scaffold_1;scaffold_1;scaffold_1	55010;55166;55336	55102;55312;55491	+;+;+	396	1010
CLENT_000025-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	55611;55883;56081;56254;56426;56646;56855;57176;57848	55837;56040;56210;56379;56602;56808;57138;57805;58199	+;+;+;+;+;+;+;+;+	2247	2516
CLENT_000026-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	58350;58559;58823;59100;59304;59495;59753	58494;58778;59047;59258;59454;59703;60000	+;+;+;+;+;+;+	1357	545
CLENT_000027-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	61438;61598;61894;62171;62350	61548;61850;62110;62295;62741	+;+;+;+;+	1098	0
CLENT_000027-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	61438;61598;61786;61894;62171;62350	61548;61739;61850;62110;62295;62741	+;+;+;+;+;+	1052	0
CLENT_000028-T1	scaffold_1;scaffold_1;scaffold_1	62699;63029;63644	62979;63598;63964	-;-;-	1172	1939
CLENT_000029-T1	scaffold_1;scaffold_1	64126;64476	64431;65397	-;-	1228	160348
CLENT_000030-T1	scaffold_1;scaffold_1	65778;66305	66256;66446	-;-	621	4829
CLENT_000031-T1	scaffold_1;scaffold_1	66935;67190	67150;67414	+;+	441	663
CLENT_000032-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	67444;67528;67630;67820	67462;67585;67758;67904	+;+;+;+	291	1118
CLENT_000033-T1	scaffold_1;scaffold_1	68121;69757	69367;70318	-;-	1809	25116
CLENT_000034-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	69662;70579;70730;70954;71292	70534;70679;70905;71240;71647	+;+;+;+;+	1793	1640
CLENT_000035-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	71959;72126;72204;72376;72580	72081;72162;72318;72523;72786	+;+;+;+;+	630	102
CLENT_000036-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	72802;72990;73261;73428;73759;74058;74285;74596;75041;75516;76404;76827	72948;73217;73385;73713;73994;74241;74546;74997;75476;76259;76783;77038	+;+;+;+;+;+;+;+;+;+;+;+	3642	445
CLENT_000037-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	76259;76827;77586;77772;77941;78220;79139;79536	76783;77537;77716;77889;78173;79094;79483;80808	+;+;+;+;+;+;+;+	4211	9344
CLENT_000038-T1	scaffold_1;scaffold_1	80926;81150	81111;81513	+;+	550	1789
CLENT_000039-T1	scaffold_1	81863	83818	-	1956	7482
CLENT_000040-T1	scaffold_1;scaffold_1;scaffold_1	84345;84947;85696	84900;85639;85832	+;+;+	1386	3031
CLENT_000041-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	86144;86392;86820;86982	86339;86772;86942;87338	-;-;-;-	1057	0
CLENT_000041-T2	scaffold_1;scaffold_1;scaffold_1	86144;86392;86982	86339;86942;87338	-;-;-	1104	0
CLENT_000042-T1	scaffold_1;scaffold_1	87411;88701	88629;88714	+;+	1233	1854
CLENT_000043-T1	scaffold_1;scaffold_1	88807;88913	88869;89161	+;+	312	1331
CLENT_000044-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	89205;89293;89490;89777;90206;90373;90713;91010;91210	89252;89435;89735;90155;90329;90665;90967;91168;91314	-;-;-;-;-;-;-;-;-	1752	162
CLENT_000045-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	91261;91544;91727;91889;92106;92289;92489;92706;92808	91501;91675;91844;92066;92241;92435;92646;92764;92936	-;-;-;-;-;-;-;-;-	1298	0
CLENT_000045-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	91261;91544;91727;91889;92106;92289;92706;92808	91501;91675;91844;92066;92241;92646;92764;92936	-;-;-;-;-;-;-;-	1351	0
CLENT_000045-T3	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	91271;91544;91727;91889;92106;92289;92489	91501;91675;91844;92066;92241;92435;92936	-;-;-;-;-;-;-	1390	0
CLENT_000046-T1	scaffold_1	94495	95076	-	582	19360
