# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_racemosa_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_racemosa_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_racemosa_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam
CRAC_000001-T1	scaffold_1	1008	2508	-	1501	0
CRAC_000002-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2972;3140;3345;3572;3768;3973	3091;3253;3515;3714;3910;4292	+;+;+;+;+;+	1011	0
CRAC_000003-T1	scaffold_1;scaffold_1;scaffold_1	4976;5185;5384	5094;5344;5524	-;-;-	420	0
CRAC_000004-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	5632;6438;7399;8738;8982;9224;9425;9667;10009	6392;7354;8688;8929;9173;9378;9625;9963;10522	+;+;+;+;+;+;+;+;+	4519	0
CRAC_000004-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	5632;6124;6438;7040;7399;8738;8982;9224;9425;9667;10009	6064;6392;6984;7354;8688;8929;9173;9378;9625;9963;10522	+;+;+;+;+;+;+;+;+;+;+	4405	0
CRAC_000004-T3	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	6631;7399;8738;8982;9224;9425;10009	7354;8688;8929;9173;9378;9963;10522	+;+;+;+;+;+;+	3606	0
CRAC_000005-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	10556;10948;11286;11534;11734;11979;12220;13553;13919;14511;14831	10902;11244;11486;11688;11925;12170;13509;13867;14465;14779;15284	-;-;-;-;-;-;-;-;-;-;-	4259	0
CRAC_000005-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	10556;10948;11286;11534;11734;11979;12220;14511;14831	10902;11244;11486;11688;11925;12170;14465;14779;15284	-;-;-;-;-;-;-;-;-	4353	0
CRAC_000005-T3	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	10556;10948;11286;11534;11734;11979;12220;13553;13919;14511	10902;11244;11486;11688;11925;12170;13509;13867;14465;15233	-;-;-;-;-;-;-;-;-;-	4259	0
CRAC_000006-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	15415;15662;15790;15975;16185;16295;16432	15608;15737;15924;16129;16247;16377;16676	-;-;-;-;-;-;-	951	0
CRAC_000007-T1	scaffold_1;scaffold_1	16760;16886	16833;18199	+;+	1388	4
CRAC_000008-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	18265;18395;18615;18745;18901;19132;19292;19404;19494	18353;18569;18700;18844;19083;19226;19350;19452;19638	-;-;-;-;-;-;-;-;-	981	0
CRAC_000009-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	20124;20477;20599;20788;20932;21095;21324	20416;20554;20740;20877;21042;21174;21366	-;-;-;-;-;-;-	837	0
CRAC_000010-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	21626;21739;21872;22041;22218	21686;21823;21992;22148;22966	+;+;+;+;+	1124	0
CRAC_000011-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	22675;22785;22961;23137;23263;23622	22731;22914;23081;23211;23577;23634	-;-;-;-;-;-	711	0
CRAC_000012-T1	scaffold_1;scaffold_1	24218;24543	24487;24626	-;-	354	0
CRAC_000013-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	24669;24995;25136;25276;25462	24950;25084;25217;25395;25523	-;-;-;-;-	636	0
CRAC_000014-T1	scaffold_1;scaffold_1	25997;26248	26189;27002	+;+	948	0
CRAC_000015-T1	scaffold_1	27142	28572	-	1431	0
CRAC_000016-T1	scaffold_1;scaffold_1	29283;30120	30064;30309	-;-	972	0
CRAC_000017-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	30627;30830;31053;31170;31314;32902;33114;33358;33693	30777;31002;31125;31261;32858;33066;33306;33640;33819	+;+;+;+;+;+;+;+;+	2802	2
CRAC_000018-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	34134;34373;34637;35397;35595;35927;36781	34267;34592;35348;35542;35760;36706;39008	+;+;+;+;+;+;+	4386	2
CRAC_000019-T1	scaffold_1	39462	41845	+	2384	0
CRAC_000020-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	41846;42284;42420;42606	42242;42370;42550;42737	-;-;-;-	747	0
CRAC_000021-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	42756;43011;43141;43281;43451;43711;43840;44100;44334;44541	42957;43096;43238;43398;43669;43792;44050;44271;44486;45302	+;+;+;+;+;+;+;+;+;+	2103	0
CRAC_000022-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	46328;46640;46846;47053;47263;47889;48234	46590;46797;46998;47212;47840;48178;48474	-;-;-;-;-;-;-	1843	0
CRAC_000022-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	46328;46640;46846;47053;47263;47889	46590;46797;46998;47212;47840;48474	-;-;-;-;-;-	1898	0
CRAC_000023-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	48492;49028;49442;49560;49724;49951;50057;50239;50388;50496;50738	48980;49115;49519;49679;49902;50014;50186;50340;50449;50696;50909	+;+;+;+;+;+;+;+;+;+;+	1685	0
CRAC_000025-T1	scaffold_1;scaffold_1;scaffold_1	50898;54106;54478	54053;54434;54674	-;-;-	3682	0
CRAC_000024-T1	scaffold_1;scaffold_1	50941;51064	51019;52451	+;+	1467	0
CRAC_000026-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	54791;55188;55540;55918;56122;56267	55142;55490;55872;56076;56219;56456	-;-;-;-;-;-	1435	0
CRAC_000027-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	56501;56965;57064;57511	56920;57018;57465;57816	+;+;+;+	1182	0
CRAC_000028-T1	scaffold_1	58209	60467	-	2259	0
CRAC_000029-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	60563;60773;60942;61112	60714;60898;61061;62031	+;+;+;+	1318	0
CRAC_000030-T1	scaffold_1	61681	62022	-	342	0
CRAC_000031-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	62212;62526;62634;62757;62912;63112;63427;63724	62361;62588;62706;62863;63066;63384;63681;64060	+;+;+;+;+;+;+;+	1413	0
CRAC_000032-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	64150;67316;67661;68003;68247	67225;67619;67961;68202;68433	-;-;-;-;-	4068	4
CRAC_000033-T1	scaffold_1;scaffold_1;scaffold_1	68607;69096;70510	69044;70446;71231	+;+;+	2511	0
CRAC_000034-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	71325;71902;72077;72228;72383;72543;72984	71859;72032;72179;72336;72494;72938;73266	+;+;+;+;+;+;+	1669	0
CRAC_000035-T1	scaffold_1	73267	75374	-	2108	0
CRAC_000036-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	75368;75753;75956;76272;76412	75708;75915;76231;76367;76645	-;-;-;-;-	1110	0
CRAC_000037-T1	scaffold_1;scaffold_1	76649;77338	77296;78883	+;+	2194	0
